epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
114,1240.04,0.85723,0.45393,0.90903,0.92078,0.76549,0.84703,0.59685,0.8789,0.44406,0.8762,0.000363252,0.000363252,0.000363252
115,1250.82,0.86246,0.45461,0.89252,0.91562,0.74481,0.83559,0.58586,0.87417,0.44904,0.874,0.00035382,0.00035382,0.00035382
116,1261.75,0.83136,0.43496,0.9074,0.88179,0.78332,0.83965,0.5873,0.87342,0.45377,0.87555,0.000344389,0.000344389,0.000344389
117,1272.74,0.84454,0.43806,0.90754,0.88432,0.7911,0.84067,0.59598,0.88273,0.4405,0.88295,0.000334958,0.000334958,0.000334958
118,1283.64,0.92249,0.47544,0.90658,0.7988,0.82245,0.84371,0.58873,0.88894,0.43528,0.87892,0.000325526,0.000325526,0.000325526
119,1294.49,0.84924,0.44632,0.89775,0.91816,0.81985,0.8607,0.60093,0.87762,0.4264,0.88388,0.000316095,0.000316095,0.000316095
120,1305.18,0.83565,0.44453,0.90258,0.92343,0.80741,0.86283,0.60427,0.87979,0.43164,0.88359,0.000306663,0.000306663,0.000306663
121,1315.86,0.86069,0.45498,0.89997,0.92491,0.78225,0.85672,0.59826,0.887,0.42236,0.88271,0.000297232,0.000297232,0.000297232
122,1326.79,0.86452,0.45231,0.90555,0.9254,0.78483,0.86152,0.61068,0.883,0.43181,0.88553,0.000287801,0.000287801,0.000287801
123,1337.38,0.79969,0.42494,0.89713,0.92921,0.77772,0.84778,0.59135,0.88328,0.44242,0.88448,0.000278369,0.000278369,0.000278369
124,1348.29,0.8292,0.42399,0.89428,0.90076,0.78451,0.85429,0.59704,0.88706,0.44075,0.88336,0.000268938,0.000268938,0.000268938
125,1359.26,0.83474,0.43218,0.90541,0.90895,0.78805,0.86762,0.60488,0.8922,0.41905,0.87955,0.000259506,0.000259506,0.000259506
